assembly_no,label,type
1,tank_001,tank
2,elbow_001,elbow
3,pipeline_001,pipeline
4,elbow_002,elbow
5,elbow_003,elbow
6,elbow_004,elbow
7,pipeline_002,pipeline
8,elbow_005,elbow
9,elbow_006,elbow
10,elbow_007,elbow
11,pipeline_003,pipeline
12,elbow_008,elbow
13,pipeline_004,pipeline
14,elbow_009,elbow
15,pipeline_005,pipeline
16,elbow_010,elbow
17,pipeline_006,pipeline
18,pipeline_007,pipeline
19,elbow_011,elbow
20,pipeline_008,pipeline
21,pipeline_009,pipeline
22,elbow_012,elbow
23,pipeline_010,pipeline
24,elbow_013,elbow
25,pipeline_011,pipeline
26,elbow_014,elbow
27,pipeline_012,pipeline
28,elbow_015,elbow
29,pipeline_013,pipeline
30,blackbox_001,blackbox
31,elbow_016,elbow
32,elbow_017,elbow
33,pipeline_014,pipeline
34,elbow_018,elbow
35,pipeline_015,pipeline
36,pipeline_016,pipeline
37,elbow_019,elbow
38,pipeline_017,pipeline
39,elbow_020,elbow
40,pipeline_018,pipeline
41,elbow_021,elbow
42,pipeline_019,pipeline
43,elbow_022,elbow
44,pipeline_020,pipeline
45,blackbox_002,blackbox
46,pipeline_021,pipeline
47,pipeline_022,pipeline
48,elbow_023,elbow
49,pipeline_023,pipeline
50,elbow_024,elbow
51,pipeline_024,pipeline
52,elbow_025,elbow
53,pipeline_025,pipeline
54,pipeline_026,pipeline
55,elbow_026,elbow
56,blackbox_003,blackbox
57,blackbox_004,blackbox
58,elbow_027,elbow
59,pipeline_027,pipeline
60,pipeline_028,pipeline
61,elbow_028,elbow
62,pipeline_029,pipeline
63,elbow_029,elbow
64,pipeline_030,pipeline
65,elbow_030,elbow
66,pipeline_031,pipeline
67,elbow_031,elbow
68,pipeline_032,pipeline
69,elbow_032,elbow
70,pipeline_033,pipeline
71,elbow_033,elbow
72,pipeline_034,pipeline
73,elbow_034,elbow
74,pipeline_035,pipeline
75,elbow_035,elbow
76,pipeline_036,pipeline
77,pipeline_037,pipeline
78,blackbox_005,blackbox
79,pipeline_038,pipeline
80,elbow_036,elbow
81,pipeline_039,pipeline
82,elbow_037,elbow
83,elbow_038,elbow
84,blackbox_006,blackbox
85,pipeline_040,pipeline
86,pipeline_041,pipeline
87,elbow_039,elbow
88,elbow_040,elbow
89,pipeline_042,pipeline
90,pipeline_043,pipeline
91,elbow_041,elbow
92,elbow_042,elbow
93,pipeline_044,pipeline
94,elbow_043,elbow
95,pipeline_045,pipeline
96,elbow_044,elbow
97,pipeline_046,pipeline
98,elbow_045,elbow
99,pipeline_047,pipeline
100,blackbox_007,blackbox
101,blackbox_008,blackbox
102,elbow_046,elbow
103,pipeline_048,pipeline
104,elbow_047,elbow
105,pipeline_049,pipeline
106,pipeline_050,pipeline
107,pipeline_051,pipeline
108,elbow_048,elbow
109,elbow_049,elbow
110,pipeline_052,pipeline
111,pipeline_053,pipeline
112,elbow_050,elbow
113,elbow_051,elbow
114,blackbox_009,blackbox
115,elbow_052,elbow
116,elbow_053,elbow
117,pipeline_054,pipeline
118,pipeline_055,pipeline
119,elbow_054,elbow
120,elbow_055,elbow
121,pipeline_056,pipeline
122,pipeline_057,pipeline
123,elbow_056,elbow
124,pipeline_058,pipeline
125,blackbox_010,blackbox
126,pipeline_059,pipeline
127,pipeline_060,pipeline
128,elbow_057,elbow
129,pipeline_061,pipeline
130,elbow_058,elbow
131,pipeline_062,pipeline
132,elbow_059,elbow
133,pipeline_063,pipeline
134,pipeline_064,pipeline
135,pipeline_065,pipeline
136,pipeline_066,pipeline
137,pipeline_067,pipeline
138,pipeline_068,pipeline
139,pipeline_069,pipeline
140,pipeline_070,pipeline
141,pipeline_071,pipeline
142,elbow_060,elbow
143,elbow_061,elbow
144,pipeline_072,pipeline
145,elbow_062,elbow
146,pipeline_073,pipeline
147,blackbox_011,blackbox
148,pipeline_074,pipeline
149,blackbox_012,blackbox
150,pipeline_075,pipeline
151,elbow_063,elbow
152,pipeline_076,pipeline
153,elbow_064,elbow
154,pipeline_077,pipeline
155,elbow_065,elbow
156,elbow_066,elbow
157,blackbox_013,blackbox
158,pipeline_078,pipeline
159,elbow_067,elbow
160,elbow_068,elbow
161,pipeline_079,pipeline
162,elbow_069,elbow
163,pipeline_080,pipeline
164,elbow_070,elbow
165,elbow_071,elbow
166,tank_002,tank
167,elbow_072,elbow
168,pipeline_081,pipeline
169,elbow_073,elbow
170,pipeline_082,pipeline
171,elbow_074,elbow
172,blackbox_014,blackbox
173,elbow_075,elbow
174,pipeline_083,pipeline
175,elbow_076,elbow
176,pipeline_084,pipeline
177,elbow_077,elbow
178,pipeline_085,pipeline
179,elbow_078,elbow
180,pipeline_086,pipeline
181,elbow_079,elbow
182,pipeline_087,pipeline
183,elbow_080,elbow
184,pipeline_088,pipeline
185,elbow_081,elbow
186,pipeline_089,pipeline
187,blackbox_015,blackbox
188,pipeline_090,pipeline
189,elbow_082,elbow
190,pipeline_091,pipeline
191,elbow_083,elbow
192,pipeline_092,pipeline
193,blackbox_016,blackbox
194,pipeline_093,pipeline
195,elbow_084,elbow
196,elbow_085,elbow
197,elbow_086,elbow
198,pipeline_094,pipeline
199,elbow_087,elbow
200,pipeline_095,pipeline
201,elbow_088,elbow
202,pipeline_096,pipeline
203,blackbox_017,blackbox
204,pipeline_097,pipeline
205,blackbox_018,blackbox
206,pipeline_098,pipeline
