label,type,ifc_part_name,ifc_source_file
blackbox_001,blackbox,blackbox_001,assembly_prepared.ifc
blackbox_002,blackbox,blackbox_002,assembly_prepared.ifc
blackbox_003,blackbox,blackbox_003,assembly_prepared.ifc
blackbox_004,blackbox,blackbox_004,assembly_prepared.ifc
blackbox_005,blackbox,blackbox_005,assembly_prepared.ifc
blackbox_006,blackbox,blackbox_006,assembly_prepared.ifc
blackbox_007,blackbox,blackbox_007,assembly_prepared.ifc
blackbox_008,blackbox,blackbox_008,assembly_prepared.ifc
blackbox_010,blackbox,blackbox_010,assembly_prepared.ifc
blackbox_011,blackbox,blackbox_011,assembly_prepared.ifc
blackbox_012,blackbox,blackbox_012,assembly_prepared.ifc
blackbox_013,blackbox,blackbox_013,assembly_prepared.ifc
blackbox_014,blackbox,blackbox_014,assembly_prepared.ifc
blackbox_015,blackbox,blackbox_015,assembly_prepared.ifc
blackbox_016,blackbox,blackbox_016,assembly_prepared.ifc
blackbox_017,blackbox,blackbox_017,assembly_prepared.ifc
blackbox_018,blackbox,blackbox_018,assembly_prepared.ifc
blackbox_019,blackbox,blackbox_019,assembly_prepared.ifc
blackbox_020,blackbox,blackbox_020,assembly_prepared.ifc
blackbox_021,blackbox,blackbox_021,assembly_prepared.ifc
blackbox_022,blackbox,blackbox_022,assembly_prepared.ifc
blackbox_023,blackbox,blackbox_023,assembly_prepared.ifc
blackbox_024,blackbox,blackbox_024,assembly_prepared.ifc
blackbox_025,blackbox,blackbox_025,assembly_prepared.ifc
blackbox_026,blackbox,blackbox_026,assembly_prepared.ifc
blackbox_027,blackbox,blackbox_027,assembly_prepared.ifc
blackbox_028,blackbox,blackbox_028,assembly_prepared.ifc
blackbox_029,blackbox,blackbox_029,assembly_prepared.ifc
blackbox_030,blackbox,blackbox_030,assembly_prepared.ifc
blackbox_031,blackbox,blackbox_031,assembly_prepared.ifc
blackbox_032,blackbox,blackbox_032,assembly_prepared.ifc
blackbox_033,blackbox,blackbox_033,assembly_prepared.ifc
blackbox_034,blackbox,blackbox_034,assembly_prepared.ifc
blackbox_035,blackbox,blackbox_035,assembly_prepared.ifc
tank_001,tank,tank_001,assembly_prepared.ifc
tank_002,tank,tank_002,assembly_prepared.ifc
tank_003,tank,tank_003_locked,model_locked.ifc
